Lecco comune,Lecco comune.1
,
Lecco – VedutaPanorama dai Piani d'Erna,Lecco – VedutaPanorama dai Piani d'Erna
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Mauro Gattinoni (indipendente di centro-sinistra) dal 6-10-2020
Territorio,Territorio
Coordinate,45°51′12.02″N 9°23′25.73″E
Altitudine,216 m s.l.m.
Superficie,"45,93 km²"
Abitanti,47 334[1] (30-11-2025)
Densità,"1 030,57 ab./km²"
Frazioni,nessuna[2]; vedi elenco quartieri
Comuni confinanti,"Abbadia Lariana, Ballabio, Brumano (BG), Erve, Galbiate, Garlate, Malgrate, Mandello del Lario, Morterone, Pescate, Sant'Omobono Terme (BG), Valmadrera, Vercurago"
Altre informazioni,Altre informazioni
Cod. postale,23900
Prefisso,0341
Fuso orario,UTC+1
ISO 3166-2,IT-LC
Codice ISTAT,097042
Cod. catastale,E507
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,lecchesi
Patrono,san Nicolò santo Stefano (compatrono)
Giorno festivo,6 dicembre
PIL procapite,(nominale) 25 354 €[5]
Soprannome,Città Manzoniana
Cartografia,Cartografia
Lecco,Lecco
Lecco – MappaPosizione del comune di Lecco nell'omonima provincia,Lecco – MappaPosizione del comune di Lecco nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
