Brivio comune,Brivio comune.1
,
Brivio – VedutaPanorama da nord,Brivio – VedutaPanorama da nord
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Federico Airoldi (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,45°45′N 9°27′E
Altitudine,208 m s.l.m.
Superficie,"7,95 km²"
Abitanti,4 352[1] (30-11-2025)
Densità,"547,42 ab./km²"
Frazioni,"Beverate, Vaccarezza, Foppaluera, Canosse, Molinazzo, Toffo, Foino, Bastiglia, Palazzetto, Butto[2]"
Comuni confinanti,"Airuno, Calco, Calolziocorte, Cisano Bergamasco (BG), Monte Marenzo, Olgiate Molgora, Olginate, Pontida (BG), Villa d'Adda (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23883
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097010
Cod. catastale,B194
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 365 GG[4]"
Nome abitanti,briviesi
Patrono,"Santi martiri Sisinio, Martirio e Alessandro e Beata Vergine Addolorata"
Giorno festivo,Terza domenica di settembre
Cartografia,Cartografia
Brivio,Brivio
Brivio – MappaPosizione del comune di Brivio nella provincia di Lecco,Brivio – MappaPosizione del comune di Brivio nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
