Oliveto Lario comune,Oliveto Lario comune.1
,
Oliveto Lario – Veduta,Oliveto Lario – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Federico Gramatica (lista civica) dal 14-05-2023 (1º mandato)
Data di istituzione,1927
Territorio,Territorio
Coordinate,45°57′N 9°16′E
Altitudine,208 m s.l.m.
Superficie,"15,7 km²"
Abitanti,1 149[1] (30-11-2025)
Densità,"73,18 ab./km²"
Frazioni,"Limonta, Onno, Vassena (sede comunale)"
Comuni confinanti,"Abbadia Lariana, Barni (CO), Bellagio (CO), Lasnigo (CO), Lierna, Magreglio (CO), Mandello del Lario, Valbrona (CO), Varenna"
Altre informazioni,Altre informazioni
Cod. postale,23865
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,097060
Cod. catastale,G040
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 365 GG[3]"
Nome abitanti,Olivetani
Patrono,Santi Nazario e Celso martiri
Giorno festivo,28 luglio (Vassena) Ultima domenica di aprile (Onno) Domenica successiva a Ferragosto (Limonta)
Cartografia,Cartografia
Oliveto Lario,Oliveto Lario
Oliveto Lario – MappaPosizione del comune di Oliveto Lario nella provincia di Lecco,Oliveto Lario – MappaPosizione del comune di Oliveto Lario nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
