Cremella comune,Cremella comune.1
,
Cremella – Veduta,Cremella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Cristina Brusadelli (lista civica) dal 10-6-2024(1º mandato)
Territorio,Territorio
Coordinate,45°44′30.57″N 9°18′18.25″E
Altitudine,383 m s.l.m.
Superficie,"1,89 km²"
Abitanti,1 685[1] (30-11-2025)
Densità,"891,53 ab./km²"
Frazioni,"Località: Valle di Sotto, Baciolago, Isola, Monte Gregorio, Ciollate sopra, Vergate sul cofano"
Comuni confinanti,"Barzago, Barzanò, Bulciago, Cassago Brianza"
Altre informazioni,Altre informazioni
Cod. postale,23894
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097028
Cod. catastale,D143
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 613 GG[3]"
Nome abitanti,cremellesi
Patrono,"santi Sisinio, Martirio e Alessandro, compatrona: Madonna Immacolata"
Giorno festivo,"29 maggio (festa dei Santi patroni), 8 dicembre (festa dell'Immacolata e dei pomm)"
Cartografia,Cartografia
Cremella,Cremella
Cremella – MappaPosizione del comune di Cremella nella provincia di Lecco,Cremella – MappaPosizione del comune di Cremella nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
