Castello di Brianza comune,Castello di Brianza comune.1
,
Castello di Brianza – Veduta,Castello di Brianza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Aldo Riva (lista civica Uniti per Castello) dal 27-5-2019
Territorio,Territorio
Coordinate,45°45′23.05″N 9°20′54.22″E
Altitudine,394 m s.l.m.
Superficie,"3,59 km²"
Abitanti,2 628[1] (30-11-2025)
Densità,"732,03 ab./km²"
Frazioni,"Bevera, Boffalora, Brianzola, Caraverio, Cascinette, Cologna (sede comunale), Moiacchina, Prestabbio[2]"
Comuni confinanti,"Barzago, Colle Brianza, Dolzago, La Valletta Brianza, Santa Maria Hoè, Sirtori"
Altre informazioni,Altre informazioni
Cod. postale,23884
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097019
Cod. catastale,C187
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 538 GG[4]"
Nome abitanti,brianzollesi
Patrono,san Lorenzo martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Castello di Brianza,Castello di Brianza
Castello di Brianza – MappaPosizione del comune di Castello di Brianza nella provincia di Lecco,Castello di Brianza – MappaPosizione del comune di Castello di Brianza nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
