La Valletta Brianza comune,La Valletta Brianza comune.1
,
La Valletta Brianza – VedutaChiesa antica della frazione di Perego,La Valletta Brianza – VedutaChiesa antica della frazione di Perego
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Marco Panzeri (La Valletta 2020) dal 22-9-2020
Data di istituzione,30-1-2015[1]
Territorio,Territorio
Coordinate,45°44′19″N 9°21′44″E
Altitudine,342 (da 280 a 555) m s.l.m.
Superficie,"8,78 km²"
Abitanti,4 636[2] (30-11-2025)
Densità,"528,02 ab./km²"
Frazioni,"Albareda, Bagaggera, Barbabella, Bernaga, Biscioia, Brugolone, Casternago, Cerè, Cereda, Crescenzaga, Filatoio, Fornace Alta, Fornace Bassa, Francolino, Galbusera Bianca, Galbusera Nera, Lissolo, Malnido, Malpensata, Monte, Molino, Ospedaletto, Perego, Rovagnate (sede comunale), Sara, Spiazzo, Zerbine"
Comuni confinanti,"Castello di Brianza, Missaglia, Montevecchia, Olgiate Molgora, Santa Maria Hoè, Sirtori"
Altre informazioni,Altre informazioni
Cod. postale,23888
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097092
Cod. catastale,M348
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cartografia,Cartografia
La Valletta Brianza,La Valletta Brianza
La Valletta Brianza – MappaMappa del comune di La Valletta Brianza all'interno della Provincia di Lecco,La Valletta Brianza – MappaMappa del comune di La Valletta Brianza all'interno della Provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
