Dorio comune,Dorio comune.1
,
Dorio – Veduta,Dorio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Massimo Vergani (lista civica)
Territorio,Territorio
Coordinate,46°06′N 9°19′E
Altitudine,210 m s.l.m.
Superficie,"11,66 km²"
Abitanti,327[1] (30-11-2025)
Densità,"28,04 ab./km²"
Frazioni,"Torchiedo Località: Crottino, Mandonico, Panico, Vesgallo, Sparesee, Perdonasco, Vezzee, Falgareu, Garavina, Piazzo.[2]"
Comuni confinanti,"Colico, Dervio, Pianello del Lario (CO), Sueglio, Valvarrone"
Altre informazioni,Altre informazioni
Cod. postale,23824
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097032
Cod. catastale,D346
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 232 GG[4]"
Nome abitanti,doriesi
Cartografia,Cartografia
Dorio,Dorio
Dorio – MappaPosizione del comune di Dorio nella provincia di Lecco,Dorio – MappaPosizione del comune di Dorio nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
