Lierna comune,Lierna comune.1
,
Lierna – VedutaVeduta dall'alto,Lierna – VedutaVeduta dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Simonetta Costantini (Lista civica Noi per Lierna) dal 10-6-2024
Territorio,Territorio
Coordinate,45°57′29.16″N 9°18′18.36″E
Altitudine,202 m s.l.m.
Superficie,"11,24[1] km²"
Abitanti,2 109[2] (30-11-2025)
Densità,"187,63 ab./km²"
Frazioni,"Castello, Villa (Centro storico e sede comunale), Casate, Ciserino, Genico, Giussana, Grumo, Mugiasco, Olcianico, Sornico[3]"
Comuni confinanti,"Varenna, Esino Lario, Mandello del Lario, Oliveto Lario"
Altre informazioni,Altre informazioni
Cod. postale,23827
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097043
Cod. catastale,E581
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona E, 2 220 GG[5]"
Nome abitanti,liernesi
Patrono,Sant'Ambrogio
Cartografia,Cartografia
Lierna,Lierna
Lierna – MappaPosizione del comune di Lierna nella provincia di Lecco,Lierna – MappaPosizione del comune di Lierna nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
