Malgrate comune,Malgrate comune.1
,
Malgrate – VedutaPanorama di Malgrate da Lecco,Malgrate – VedutaPanorama di Malgrate da Lecco
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Michele Peccati (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°50′56.08″N 9°22′34.68″E
Altitudine,231 m s.l.m.
Superficie,"1,9 km²"
Abitanti,4 163[1] (30-11-2025)
Densità,"2 191,05 ab./km²"
Comuni confinanti,"Galbiate, Lecco, Valmadrera"
Altre informazioni,Altre informazioni
Cod. postale,23864
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097045
Cod. catastale,E858
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 398 GG[3]"
Nome abitanti,"malgratesi (it.); fideghètt (lmo.occ., appellativo tradizionale)"
Patrono,san Leonardo
Giorno festivo,6 novembre
Cartografia,Cartografia
Malgrate,Malgrate
Malgrate – MappaPosizione del comune di Malgrate nella provincia di Lecco,Malgrate – MappaPosizione del comune di Malgrate nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
