Pescate comune,Pescate comune.1
,
Pescate – Veduta,Pescate – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Dante Eugenio De Capitani (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,45°50′00.55″N 9°23′38.23″E
Altitudine,214 m s.l.m.
Superficie,"2,1 km²"
Abitanti,2 134[1] (30-11-2025)
Densità,"1 016,19 ab./km²"
Frazioni,"Pescalina, Insirano, Torrette Inferiori, Torrette Superiori"
Comuni confinanti,"Galbiate, Garlate, Lecco"
Altre informazioni,Altre informazioni
Cod. postale,23855
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097068
Cod. catastale,G485
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 373 GG[3]"
Nome abitanti,pescatesi
Patrono,santa Teresa
Cartografia,Cartografia
Pescate,Pescate
Pescate – MappaPosizione del comune di Pescate nella provincia di Lecco,Pescate – MappaPosizione del comune di Pescate nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
