Verderio comune,Verderio comune.1
,
Verderio – VedutaPanorama di Verderio,Verderio – VedutaPanorama di Verderio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Danillo Igino Villa detto Danilo (lista civica SiAmo Verderio) dal 10-6-2024
Data di istituzione,4 febbraio 2014[1][2]
Territorio,Territorio
Coordinate,45°40′00″N 9°26′00″E
Altitudine,249 m s.l.m.
Superficie,"6,47[3] km²"
Abitanti,5 502[4] (30-11-2025)
Densità,"850,39 ab./km²"
Frazioni,Sernovella
Comuni confinanti,"Aicurzio (MB), Bernareggio (MB), Cornate d'Adda (MB), Paderno d'Adda, Robbiate, Ronco Briantino (MB), Sulbiate (MB)"
Altre informazioni,Altre informazioni
Cod. postale,23879
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097091
Cod. catastale,M337
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[5]
Cl. climatica,"zona E, 2 423 GG[6]"
Nome abitanti,verderesi
Patrono,Santi Nazaro e Celso
Giorno festivo,28 luglio
Cartografia,Cartografia
Verderio,Verderio
Verderio – Mappa,Verderio – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
