Annone di Brianza comune,Annone di Brianza comune.1
,
Annone di Brianza – Veduta,Annone di Brianza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Patrizio Sidoti (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°48′14″N 9°19′54″E
Altitudine,265 m s.l.m.
Superficie,"5,98 km²"
Abitanti,2 284[1] (30-11-2025)
Densità,"381,94 ab./km²"
Comuni confinanti,"Bosisio Parini, Cesana Brianza, Civate, Galbiate, Molteno, Oggiono, Suello"
Altre informazioni,Altre informazioni
Cod. postale,23841
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097003
Cod. catastale,A301
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 446 GG[3]"
Nome abitanti,annonesi
Patrono,Beata Vergine Addolorata
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Annone di Brianza,Annone di Brianza
Annone di Brianza – MappaPosizione del comune di Annone di Brianza nella provincia di Lecco,Annone di Brianza – MappaPosizione del comune di Annone di Brianza nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
