Pagnona comune,Pagnona comune.1
,
Pagnona – Veduta,Pagnona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Martino Colombo (lista civica) dal Maggio 2019
Territorio,Territorio
Coordinate,46°03′36.36″N 9°24′06.84″E
Altitudine,790 m s.l.m.
Superficie,"9,2 km²"
Abitanti,309[1] (30-11-2025)
Densità,"33,59 ab./km²"
Comuni confinanti,"Casargo, Colico, Delebio (SO), Piantedo (SO), Premana, Valvarrone"
Altre informazioni,Altre informazioni
Cod. postale,23833
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097063
Cod. catastale,G241
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 191 GG[3]"
Nome abitanti,pagnonesi
Patrono,sant'Andrea e santa Lucia
Giorno festivo,"30 novembre, 13 dicembre"
Cartografia,Cartografia
Pagnona,Pagnona
Pagnona – MappaPosizione del comune di Pagnona nella provincia di Lecco,Pagnona – MappaPosizione del comune di Pagnona nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
