Cremeno comune,Cremeno comune.1
,
Cremeno – Veduta,Cremeno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Pierluigi Invernizzi (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,45°56′05.46″N 9°28′25.42″E
Altitudine,792 m s.l.m.
Superficie,"13,18 km²"
Abitanti,1 838[1] (30-11-2025)
Densità,"139,45 ab./km²"
Frazioni,"Casere, Cremeno Centro, Maggio[2], Noccoli"
Comuni confinanti,"Ballabio, Barzio, Cassina Valsassina, Morterone, Pasturo"
Altre informazioni,Altre informazioni
Cod. postale,23814
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097029
Cod. catastale,D145
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 191 GG[4]"
Nome abitanti,cremenesi
Cartografia,Cartografia
Cremeno,Cremeno
Cremeno – MappaPosizione del comune di Cremeno nella provincia di Lecco,Cremeno – MappaPosizione del comune di Cremeno nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
