Costa Masnaga comune,Costa Masnaga comune.1
,
Costa Masnaga – Veduta,Costa Masnaga – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Sabina Panzeri (lista civica Al centro il cittadino) dall'8-6-2009
Territorio,Territorio
Coordinate,45°46′N 9°17′E
Altitudine,318 m s.l.m.
Superficie,"5,62 km²"
Abitanti,4 745[1] (30-11-2025)
Densità,"844,31 ab./km²"
Frazioni,"Centemero, Brenno, Camisasca"
Comuni confinanti,"Bulciago, Garbagnate Monastero, Lambrugo (CO), Merone (CO), Molteno, Nibionno, Rogeno"
Altre informazioni,Altre informazioni
Cod. postale,23845
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,097026
Cod. catastale,D112
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 521 GG[3]"
Nome abitanti,Costamasnaghesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Costa Masnaga,Costa Masnaga
Costa Masnaga – MappaPosizione del comune di Costa Masnaga nella provincia di Lecco,Costa Masnaga – MappaPosizione del comune di Costa Masnaga nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
