Cassago Brianza comune,Cassago Brianza comune.1
,
Cassago Brianza – Veduta,Cassago Brianza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Roberta Marabese (lista civica Cassago ideale) dal 26-5-2019
Territorio,Territorio
Coordinate,45°44′N 9°17′E
Altitudine,334 m s.l.m.
Superficie,"3,55 km²"
Abitanti,4 406[1] (30-11-2025)
Densità,"1 241,13 ab./km²"
Frazioni,"Oriano, Tremoncino Località: Campiasciutti, Cassago Stazione, La Costa, Molinello, La Ca'rossa, Costaijola, Rosello, Zizzanorre[2]"
Comuni confinanti,"Barzanò, Bulciago, Cremella, Monticello Brianza, Nibionno, Renate (MB), Veduggio con Colzano (MB)"
Altre informazioni,Altre informazioni
Cod. postale,23893
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097017
Cod. catastale,B996
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 544 GG[4]"
Nome abitanti,cassaghesi
Patrono,santi Giacomo e Brigida
Giorno festivo,25 luglio
Cartografia,Cartografia
Cassago Brianza,Cassago Brianza
Cassago Brianza – MappaPosizione del comune di Cassago Brianza nella provincia di Lecco,Cassago Brianza – MappaPosizione del comune di Cassago Brianza nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
