Bulciago comune,Bulciago comune.1
,
Bulciago – Veduta,Bulciago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Luca Cattaneo (lista civica Per Bulciago) dal 25-5-2014
Territorio,Territorio
Coordinate,45°45′N 9°17′E
Altitudine,305 m s.l.m.
Superficie,"3,12 km²"
Abitanti,2 914[1] (30-11-2025)
Densità,"933,97 ab./km²"
Frazioni,"Bulciaghetto, Campolasco[2]"
Comuni confinanti,"Barzago, Cassago Brianza, Costa Masnaga, Cremella, Garbagnate Monastero, Nibionno"
Altre informazioni,Altre informazioni
Cod. postale,23892
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,097011
Cod. catastale,B261
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 503 GG[4]"
Nome abitanti,bulciaghesi
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Bulciago,Bulciago
Bulciago – MappaPosizione del comune di Bulciago nella provincia di Lecco,Bulciago – MappaPosizione del comune di Bulciago nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
