Osnago comune,Osnago comune.1
,
Osnago – VedutaIl centro paese,Osnago – VedutaIl centro paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Felice Rocca (Progetto Osnago) dal 10-06-2024
Territorio,Territorio
Coordinate,45°41′N 9°23′E
Altitudine,249 m s.l.m.
Superficie,"4,49 km²"
Abitanti,4 821[1] (30-11-2025)
Densità,"1 073,72 ab./km²"
Comuni confinanti,"Carnate (MB), Cernusco Lombardone, Lomagna, Merate, Missaglia, Montevecchia, Ronco Briantino (MB)"
Altre informazioni,Altre informazioni
Cod. postale,23875
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097061
Cod. catastale,G161
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 423 GG[3]"
Nome abitanti,osnaghesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Osnago,Osnago
Osnago – MappaPosizione del comune di Osnago nella provincia di Lecco,Osnago – MappaPosizione del comune di Osnago nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
