Rogeno comune,Rogeno comune.1
,
Rogeno – Veduta,Rogeno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Matteo Redaelli (Impegno comune) dal 26-5-2019
Territorio,Territorio
Coordinate,45°46′56.86″N 9°16′25.1″E
Altitudine,292 m s.l.m.
Superficie,"4,82 km²"
Abitanti,3 052[1] (30-11-2025)
Densità,"633,2 ab./km²"
Frazioni,"Casletto, Calvenzana, Maggiolino, Maglio"
Comuni confinanti,"Bosisio Parini, Costa Masnaga, Merone (CO), Molteno"
Altre informazioni,Altre informazioni
Cod. postale,23849
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,097072
Cod. catastale,H486
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 484 GG[3]"
Nome abitanti,rogenesi
Patrono,santi Ippolito di Roma e Cassiano di Imola
Giorno festivo,13 agosto
Cartografia,Cartografia
Rogeno,Rogeno
Rogeno – MappaPosizione del comune di Rogeno nella provincia di Lecco,Rogeno – MappaPosizione del comune di Rogeno nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
