Vercurago comune,Vercurago comune.1
,
Vercurago – VedutaVista dal Sacro Monte di Somasca,Vercurago – VedutaVista dal Sacro Monte di Somasca
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Roberto Maggi (lista civica Insieme per Vercurago) dal 10-6-2024
Territorio,Territorio
Coordinate,45°48′37.74″N 9°25′26.93″E
Altitudine,225 m s.l.m.
Superficie,"2,12[1] km²"
Abitanti,2 666[2] (30-11-2025)
Densità,"1 257,55 ab./km²"
Frazioni,Somasca
Comuni confinanti,"Calolziocorte, Erve, Garlate, Lecco, Olginate"
Altre informazioni,Altre informazioni
Cod. postale,23808
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097086
Cod. catastale,L751
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,vercuraghesi
Patrono,san Girolamo Emiliani santi Gervasio e Protasio[5]
Giorno festivo,8 febbraio
Cartografia,Cartografia
Vercurago,Vercurago
Vercurago – MappaPosizione del comune di Vercurago nella provincia di Lecco,Vercurago – MappaPosizione del comune di Vercurago nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
