Lomagna comune,Lomagna comune.1
,
Lomagna – Veduta,Lomagna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Cristina Citterio (lista civica di sinistra) dal 26-5-2019
Territorio,Territorio
Coordinate,45°40′N 9°22′E
Altitudine,255 m s.l.m.
Superficie,"3,91 km²"
Abitanti,5 115[1] (30-11-2025)
Densità,"1 308,18 ab./km²"
Frazioni,"nessuna; Località: Belvedere, Busca (Fabrica), Clementina (Cazu), Fornace, Caravaggio (Lavandaio - Lavandé), Magenta (Casinon), Carmelina (Malpensata), Marianna, Mirasole, Mulino del Conte, Pirola, Stretta, Tricodaglio (Tricudaj) Viale[2]"
Comuni confinanti,"Carnate (MB), Casatenovo, Missaglia, Osnago, Usmate Velate (MB)"
Altre informazioni,Altre informazioni
Cod. postale,23871
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097044
Cod. catastale,E656
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 432 GG[4]"
Nome abitanti,lomagnesi
Patrono,Santi Pietro e Paolo
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Lomagna,Lomagna
Lomagna – MappaPosizione del comune di Lomagna nella provincia di Lecco,Lomagna – MappaPosizione del comune di Lomagna nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
