Provincia di Lecco provincia,Provincia di Lecco provincia.1
,
Provincia di Lecco – VedutaVeduta della Valsassina,Provincia di Lecco – VedutaVeduta della Valsassina
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Amministrazione,Amministrazione
Capoluogo,Lecco
Presidente,Alessandra Hofmann (centro-destra) dal 19-12-2021
Data di istituzione,6 marzo 1992
Territorio,Territorio
Coordinate del capoluogo,45°51′N 9°24′E
Superficie,"805,61[1] km²"
Abitanti,334 242[2] (31-10-2025)
Densità,"414,89 ab./km²"
Comuni,84 comuni
Province confinanti,"Bergamo, Como, Monza e Brianza, Sondrio"
Altre informazioni,Altre informazioni
Cod. postale,"23900 Lecco, 23801-23899 provincia"
Prefisso,"031, 0341, 039"
Fuso orario,UTC+1
ISO 3166-2,IT-LC
Codice ISTAT,097
Targa,LC
Cartografia,Cartografia
Provincia di Lecco – Localizzazione,Provincia di Lecco – Localizzazione
Provincia di Lecco – Mappa,Provincia di Lecco – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
