Cesana Brianza comune,Cesana Brianza comune.1
,
Cesana Brianza – Veduta,Cesana Brianza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Luisa Airoldi (Lista Civica) dal 3-10-2021
Territorio,Territorio
Coordinate,45°49′N 9°18′E
Altitudine,300 m s.l.m.
Superficie,"3,7 km²"
Abitanti,2 325[1] (30-11-2025)
Densità,"628,38 ab./km²"
Comuni confinanti,"Annone di Brianza, Bosisio Parini, Canzo (CO), Civate, Eupilio (CO), Pusiano (CO), Suello"
Altre informazioni,Altre informazioni
Cod. postale,23861
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,097021
Cod. catastale,C563
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 496 GG[3]"
Nome abitanti,cesanesi
Patrono,santi Fermo e Rustico
Giorno festivo,9 agosto
Cartografia,Cartografia
Cesana Brianza,Cesana Brianza
Cesana Brianza – MappaPosizione del comune di Cesana Brianza nella provincia di Lecco,Cesana Brianza – MappaPosizione del comune di Cesana Brianza nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
