Barzio comune,Barzio comune.1
,
Barzio – VedutaPiazza Garibaldi e il monumento ai caduti,Barzio – VedutaPiazza Garibaldi e il monumento ai caduti
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Andrea Ferrari (lista civica) dal 09-06-2024
Territorio,Territorio
Coordinate,45°57′N 9°28′E
Altitudine,769 m s.l.m.
Superficie,"21,35 km²"
Abitanti,1 267[1] (30-11-2025)
Densità,"59,34 ab./km²"
Frazioni,"Concenedo[2], Coldogna, Pian la cà, Prada, Voltone, Berlendino, Vallicello"
Comuni confinanti,"Cassina Valsassina, Cremeno, Introbio, Moggio, Pasturo, Valtorta (BG), Vedeseta (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23816
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097007
Cod. catastale,A687
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 158 GG[4]"
Nome abitanti,barziesi
Patrono,sant'Alessandro
Giorno festivo,26 agosto
Cartografia,Cartografia
Barzio,Barzio
Barzio – MappaPosizione del comune di Barzio nella provincia di Lecco,Barzio – MappaPosizione del comune di Barzio nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
