Sueglio comune,Sueglio comune.1
,
Sueglio – VedutaChiesa parrocchiale di San Martino,Sueglio – VedutaChiesa parrocchiale di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Sandro Cariboni (lista civica Sueglio sopra il sole) dal 22-9-2020
Territorio,Territorio
Coordinate,46°05′07.19″N 9°20′00″E
Altitudine,775 m s.l.m.
Superficie,"4,11 km²"
Abitanti,157[1] (30-11-2025)
Densità,"38,2 ab./km²"
Frazioni,"Loco Toco, Loco Peinano, Sommafiume, Letee, Artesso"
Comuni confinanti,"Dervio, Dorio, Valvarrone"
Altre informazioni,Altre informazioni
Cod. postale,23835
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097077
Cod. catastale,I994
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 170 GG[3]"
Nome abitanti,suegliesi
Giorno festivo,11 febbraio
Cartografia,Cartografia
Sueglio,Sueglio
Sueglio – MappaPosizione del comune di Sueglio nella provincia di Lecco,Sueglio – MappaPosizione del comune di Sueglio nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
