Airuno comune,Airuno comune.1
,
Airuno – VedutaPanorama,Airuno – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Gianfranco Lavelli (lista civica Vivere Airuno Aizurro) dal 10-6-2024
Territorio,Territorio
Coordinate,45°45′N 9°25′E
Altitudine,222 m s.l.m.
Superficie,"4,29 km²"
Abitanti,2 927[1] (30-11-2025)
Densità,"682,28 ab./km²"
Frazioni,Aizurro
Comuni confinanti,"Brivio, Colle Brianza, Olgiate Molgora, Olginate, Valgreghentino"
Altre informazioni,Altre informazioni
Cod. postale,23881
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097002
Cod. catastale,A112
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 385 GG[3]"
Nome abitanti,airunesi
Patrono,santi Cosma e Damiano
Giorno festivo,26 settembre
Cartografia,Cartografia
Airuno,Airuno
Airuno – MappaPosizione del comune di Airuno nella provincia di Lecco,Airuno – MappaPosizione del comune di Airuno nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
