Casargo comune,Casargo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Antonio Leonardo Pasquini (lista civica Valore Casargo) dal 27-5-2019
Territorio,Territorio
Coordinate,46°02′25.15″N 9°23′19.27″E
Altitudine,804 m s.l.m.
Superficie,"19,71 km²"
Abitanti,832[1] (30-11-2025)
Densità,"42,21 ab./km²"
Frazioni,"Codesino, Indovero, Narro, Somadino Località: Giumello, Monte Basso, Paglio, Piazzo, Eurovillaggio[2]"
Comuni confinanti,"Bellano, Crandola Valsassina, Margno, Pagnona, Premana, Primaluna, Taceno, Valvarrone"
Altre informazioni,Altre informazioni
Cod. postale,23831
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097015
Cod. catastale,B937
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 3 211 GG[4]"
Nome abitanti,casarghesi
Cartografia,Cartografia
Casargo,Casargo
Casargo – MappaPosizione del comune di Casargo nella provincia di Lecco,Casargo – MappaPosizione del comune di Casargo nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
