Mandello del Lario comune,Mandello del Lario comune.1
,
Mandello del Lario – Veduta,Mandello del Lario – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Riccardo Fasoli (lista civica di centro-destra Il paese di tutti) dal 1-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,45°55′N 9°19′E
Altitudine,214 m s.l.m.
Superficie,"43,33 km²"
Abitanti,9 863[1] (30-11-2025)
Densità,"227,63 ab./km²"
Frazioni,"Mandello (sede comunale), Maggiana, Moregallo, Olcio, Piani Resinelli, Rongio, Somana[2]"
Comuni confinanti,"Abbadia Lariana, Ballabio, Esino Lario, Lecco, Lierna, Oliveto Lario, Pasturo, Valbrona (CO), Valmadrera"
Altre informazioni,Altre informazioni
Cod. postale,23826
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097046
Cod. catastale,E879
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 373 GG[4]"
Nome abitanti,mandellesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Mandello del Lario,Mandello del Lario
Mandello del Lario – MappaPosizione del comune di Mandello del Lario nella provincia di Lecco,Mandello del Lario – MappaPosizione del comune di Mandello del Lario nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
