Taceno comune,Taceno comune.1
,
Taceno – VedutaMonumento ai caduti,Taceno – VedutaMonumento ai caduti
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Alberto Nogara (lista civica di centro-destra Stella alpina) dal 26-5-2019
Territorio,Territorio
Coordinate,46°01′N 9°22′E
Altitudine,507 m s.l.m.
Superficie,"3,75 km²"
Abitanti,597[1] (30-11-2025)
Densità,"159,2 ab./km²"
Frazioni,"Taceno, Tartavalle"
Comuni confinanti,"Bellano, Casargo, Cortenova, Crandola Valsassina, Esino Lario, Margno, Parlasco"
Altre informazioni,Altre informazioni
Cod. postale,23837
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097079
Cod. catastale,L022
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 790 GG[3]"
Nome abitanti,tacenesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Taceno,Taceno
Taceno – MappaPosizione del comune di Taceno nella provincia di Lecco,Taceno – MappaPosizione del comune di Taceno nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
