Calco comune,Calco comune.1
,
Calco – VedutaChiesa di San Vigilio,Calco – VedutaChiesa di San Vigilio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Stefano Motta (lista civica) dal 31-5-2015
Territorio,Territorio
Coordinate,45°43′28.78″N 9°25′35.05″E
Altitudine,320 m s.l.m.
Superficie,"4,59 km²"
Abitanti,5 486[1] (30-11-2025)
Densità,"1 195,21 ab./km²"
Frazioni,"Arlate, Calco Superiore"
Comuni confinanti,"Brivio, Imbersago, Merate, Olgiate Molgora, Villa d'Adda (BG), Pontida (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23885
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097012
Cod. catastale,B396
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 471 GG[3]"
Nome abitanti,calchesi
Patrono,san Vigilio
Cartografia,Cartografia
Calco,Calco
Calco – MappaPosizione del comune di Calco nella provincia di Lecco,Calco – MappaPosizione del comune di Calco nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
