Missaglia comune,Missaglia comune.1
,
Missaglia – Veduta,Missaglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Paolo Redaelli (lista civica di centro-sinistra) dal 13-6-2022
Territorio,Territorio
Coordinate,45°42′N 9°20′E
Altitudine,326 m s.l.m.
Superficie,"11,52 km²"
Abitanti,8 996[1] (30-11-2025)
Densità,"780,9 ab./km²"
Frazioni,"Lomaniga, Maresso Località: Bariano, Campù, Contra, Missagliola, Ossola, Tegnoso, Valle Santa Croce"
Comuni confinanti,"Casatenovo, La Valletta Brianza, Lomagna, Montevecchia, Monticello Brianza, Osnago, Sirtori, Viganò"
Altre informazioni,Altre informazioni
Cod. postale,23873
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097049
Cod. catastale,F248
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 533 GG[3]"
Nome abitanti,missagliesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Missaglia,Missaglia
Missaglia – MappaPosizione del comune di Missaglia nella provincia di Lecco,Missaglia – MappaPosizione del comune di Missaglia nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
