Parlasco comune,Parlasco comune.1
,
Parlasco – Vedutala chiesa di Sant'Antonio Abate,Parlasco – Vedutala chiesa di Sant'Antonio Abate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Dino Pomi (Dimissionario) (lista civica Parlasco nel cuore) dal 10-06-2024
Territorio,Territorio
Coordinate,46°01′N 9°21′E
Altitudine,679 m s.l.m.
Superficie,3 km²
Abitanti,135[1] (30-11-2025)
Densità,45 ab./km²
Comuni confinanti,"Bellano, Esino Lario, Perledo, Taceno"
Altre informazioni,Altre informazioni
Cod. postale,23837 (fino al 1997 era 22040)
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097064
Cod. catastale,G336
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 034 GG[3]"
Nome abitanti,parlaschini
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Parlasco,Parlasco
Parlasco – MappaPosizione del comune di Parlasco nella provincia di Lecco,Parlasco – MappaPosizione del comune di Parlasco nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
