Bosisio Parini comune,Bosisio Parini comune.1
,
Bosisio Parini – VedutaIl lago di Pusiano,Bosisio Parini – VedutaIl lago di Pusiano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Paolo Gilardi (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°48′N 9°17′E
Altitudine,270 m s.l.m.
Superficie,"5,82 km²"
Abitanti,3 211[1] (30-11-2025)
Densità,"551,72 ab./km²"
Frazioni,Garbagnate Rota[2]
Comuni confinanti,"Annone di Brianza, Cesana Brianza, Eupilio (CO), Molteno, Rogeno"
Altre informazioni,Altre informazioni
Cod. postale,23842
Prefisso,031
Fuso orario,UTC+1
Codice ISTAT,097009
Cod. catastale,B081
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 453 GG[4]"
Nome abitanti,bosisiesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Soprannome,Busis
Cartografia,Cartografia
Bosisio Parini,Bosisio Parini
Bosisio Parini – MappaPosizione del comune di Bosisio Parini nella provincia di Lecco,Bosisio Parini – MappaPosizione del comune di Bosisio Parini nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
