Colle Brianza comune,Colle Brianza comune.1
,
Colle Brianza – VedutaVista delle Prealpi,Colle Brianza – VedutaVista delle Prealpi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Tiziana Galbusera (lista civica Uniti per Colle) dal 2019 (1º mandato)
Data di istituzione,1927
Territorio,Territorio
Coordinate,45°46′N 9°22′E
Altitudine,559 m s.l.m.
Superficie,"8,32 km²"
Abitanti,1 860[1] (30-11-2025)
Densità,"223,56 ab./km²"
Frazioni,"Cagliano, Nava (sede comunale), Ravellino[2]"
Comuni confinanti,"Airuno, Castello di Brianza, Dolzago, Ello, Galbiate, Olgiate Molgora, Santa Maria Hoè, Valgreghentino"
Altre informazioni,Altre informazioni
Cod. postale,23886
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097024
Cod. catastale,C851
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 862 GG[4]"
Nome abitanti,collesi
Patrono,san Michele
Cartografia,Cartografia
Colle Brianza,Colle Brianza
Colle Brianza – MappaPosizione del comune di Colle Brianza nella provincia di Lecco,Colle Brianza – MappaPosizione del comune di Colle Brianza nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
