Garlate comune,Garlate comune.1
,
Garlate – Veduta,Garlate – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Giuseppe Conti (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,45°48′N 9°24′E
Altitudine,205 m s.l.m.
Superficie,"3,3 km²"
Abitanti,2 657[1] (30-11-2025)
Densità,"805,15 ab./km²"
Frazioni,"Valmolina, Figina"
Comuni confinanti,"Galbiate, Lecco, Olginate, Pescate, Vercurago"
Altre informazioni,Altre informazioni
Cod. postale,23852
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097038
Cod. catastale,D926
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 361 GG[3]"
Nome abitanti,garlatesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Garlate,Garlate
Garlate – MappaPosizione del comune di Garlate nella provincia di Lecco,Garlate – MappaPosizione del comune di Garlate nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
