Carenno comune,Carenno comune.1
,
Carenno – Veduta,Carenno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Luca Pigazzini (lista civica di centro-sinistra) dal 26-5-2014
Territorio,Territorio
Coordinate,45°48′N 9°28′E
Altitudine,635 m s.l.m.
Superficie,"7,79 km²"
Abitanti,1 393[1] (30-11-2025)
Densità,"178,82 ab./km²"
Frazioni,"Boccio, Colle di Sogno Località: Cà d'Assa, Forcella Alta, Montebasso, il Pertus[2]"
Comuni confinanti,"Calolziocorte, Costa Valle Imagna (BG), Erve, Sant'Omobono Terme (BG), Torre de' Busi (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23802
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097014
Cod. catastale,B763
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 971 GG[4]"
Nome abitanti,carennesi
Patrono,"Maria SS. Immacolata, co-patrono san Biagio Vescovo"
Cartografia,Cartografia
Carenno,Carenno
Carenno – MappaPosizione del comune di Carenno nella provincia di Lecco,Carenno – MappaPosizione del comune di Carenno nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
