Casatenovo comune,Casatenovo comune.1
,
Casatenovo – Veduta,Casatenovo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Filippo Galbiati (lista civica di centro-sinistra Persone ed idee per Casatenovo) dal 26-5-2014 (3º mandato dal 10-5-2024)
Territorio,Territorio
Coordinate,45°41′54″N 9°18′42″E
Altitudine,356 m s.l.m.
Superficie,"12,66 km²"
Abitanti,13 243[1] (30-11-2025)
Densità,"1 046,05 ab./km²"
Frazioni,"Campofiorenzo, Cassina de' Bracchi, Galgiana, Rimoldo, Rogoredo, Valaperta[2]"
Comuni confinanti,"Besana in Brianza (MB), Camparada (MB), Correzzana (MB), Lesmo (MB), Lomagna, Missaglia, Monticello Brianza, Usmate Velate (MB)"
Altre informazioni,Altre informazioni
Cod. postale,23880
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097016
Cod. catastale,B943
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 581 GG[4]"
Nome abitanti,casatesi
Patrono,san Giorgio
Giorno festivo,23 aprile e terza domenica di luglio
Cartografia,Cartografia
Casatenovo,Casatenovo
Casatenovo – MappaPosizione del comune di Casatenovo nella provincia di Lecco,Casatenovo – MappaPosizione del comune di Casatenovo nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
