Dervio comune,Dervio comune.1
,
Dervio – Veduta,Dervio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Stefano Cassinelli (lista civica Dervio viva) dal 10-06-2024
Territorio,Territorio
Coordinate,46°04′35″N 9°18′24″E
Altitudine,213 m s.l.m.
Superficie,"11,7 km²"
Abitanti,2 517[1] (30-11-2025)
Densità,"215,13 ab./km²"
Frazioni,"Corenno Plinio, Castello, Monastero, Borgo, La Foppa, Pianezzo, Monte, Roncacci, Villa, Balma, Ronchi di Vesgallo[2]"
Comuni confinanti,"Bellano, Cremia (CO), Dorio, Pianello del Lario (CO), San Siro (CO), Sueglio, Valvarrone"
Altre informazioni,Altre informazioni
Cod. postale,23824
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097030
Cod. catastale,D280
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 271 GG[4]"
Nome abitanti,derviesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Dervio,Dervio
Dervio – MappaPosizione del comune di Dervio nella provincia di Lecco,Dervio – MappaPosizione del comune di Dervio nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
