Margno comune,Margno comune.1
,
Margno – Veduta,Margno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Manuele Cattaneo (lista civica: Per Margno)
Territorio,Territorio
Coordinate,46°01′46.97″N 9°23′23.96″E
Altitudine,730 m s.l.m.
Superficie,"3,59 km²"
Abitanti,425[1] (30-11-2025)
Densità,"118,38 ab./km²"
Frazioni,Le Betulle
Comuni confinanti,"Casargo, Crandola Valsassina, Taceno"
Altre informazioni,Altre informazioni
Cod. postale,23832
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097047
Cod. catastale,E947
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 106 GG[3]"
Nome abitanti,margnacchi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Margno,Margno
Margno – MappaPosizione del comune di Margno nella provincia di Lecco,Margno – MappaPosizione del comune di Margno nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
