Monte Marenzo comune,Monte Marenzo comune.1
,
Monte Marenzo – VedutaLa parrocchiale di San Paolo,Monte Marenzo – VedutaLa parrocchiale di San Paolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Paola Colombo (Un paese per star bene) dal 9-6-2015
Territorio,Territorio
Coordinate,45°46′N 9°27′E
Altitudine,440 m s.l.m.
Superficie,"3,06 km²"
Abitanti,1 781[1] (30-11-2025)
Densità,"582,03 ab./km²"
Frazioni,Levata[2]
Comuni confinanti,"Brivio, Calolziocorte, Cisano Bergamasco (BG), Torre de' Busi (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23804
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097052
Cod. catastale,F561
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 694 GG[4]"
Nome abitanti,montemarenzini
Patrono,san Paolo
Giorno festivo,25 gennaio Conversione di San Paolo 7 ottobre Beata Maria Vergine del Rosario
Cartografia,Cartografia
Monte Marenzo,Monte Marenzo
Monte Marenzo – MappaPosizione del comune di Monte Marenzo nella provincia di Lecco,Monte Marenzo – MappaPosizione del comune di Monte Marenzo nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
