Crandola Valsassina comune,Crandola Valsassina comune.1
,
Crandola Valsassina – Veduta,Crandola Valsassina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Matteo Manzoni (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,46°01′N 9°23′E
Altitudine,780 m s.l.m.
Superficie,"8,81 km²"
Abitanti,259[1] (30-11-2025)
Densità,"29,4 ab./km²"
Frazioni,Vegno
Comuni confinanti,"Casargo, Cortenova, Margno, Primaluna, Taceno"
Altre informazioni,Altre informazioni
Cod. postale,23832
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097027
Cod. catastale,D131
Targa,LC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 177 GG[3]"
Nome abitanti,crandolesi
Patrono,sant'Antonio Abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Crandola Valsassina,Crandola Valsassina
Crandola Valsassina – MappaPosizione del comune di Crandola Valsassina nella provincia di Lecco,Crandola Valsassina – MappaPosizione del comune di Crandola Valsassina nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
