Viganò comune,Viganò comune.1
,
Viganò – Veduta,Viganò – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Fabio Bertarini (lista civica)
Territorio,Territorio
Coordinate,45°43′28.85″N 9°19′29.78″E
Altitudine,390 m s.l.m.
Superficie,"1,6 km²"
Abitanti,2 111[1] (30-11-2025)
Densità,"1 319,38 ab./km²"
Comuni confinanti,"Barzanò, Missaglia, Monticello Brianza, Sirtori"
Altre informazioni,Altre informazioni
Cod. postale,23897
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097090
Cod. catastale,L866
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,viganesi
Patrono,sant'Apollonia
Cartografia,Cartografia
Viganò,Viganò
Viganò – MappaPosizione del comune di Viganò nella provincia di Lecco,Viganò – MappaPosizione del comune di Viganò nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
