Galbiate comune,Galbiate comune.1
,
Galbiate – Veduta,Galbiate – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Piergiovanni Montanelli (lista civica)
Territorio,Territorio
Coordinate,45°48′N 9°23′E
Altitudine,371 m s.l.m.
Superficie,"15,64 km²"
Abitanti,8 407[1] (30-11-2025)
Densità,"537,53 ab./km²"
Frazioni,"Bartesate, Ponte Azzone Visconti, Sala al Barro, Villa Vergano[2]"
Comuni confinanti,"Annone di Brianza, Civate, Colle Brianza, Ello, Garlate, Lecco, Malgrate, Oggiono, Olginate, Pescate, Valgreghentino, Valmadrera"
Altre informazioni,Altre informazioni
Cod. postale,23851
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097036
Cod. catastale,D865
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 596 GG[4]"
Nome abitanti,galbiatesi
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Galbiate,Galbiate
Galbiate – MappaPosizione del comune di Galbiate nella provincia di Lecco,Galbiate – MappaPosizione del comune di Galbiate nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
