Introbio comune,Introbio comune.1
,
Introbio – VedutaIntrobio visto dall'alto,Introbio – VedutaIntrobio visto dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Silvana Piazza (lista civica Viviamo Introbio) dall'8-6-2024
Territorio,Territorio
Coordinate,45°58′N 9°27′E
Altitudine,586 m s.l.m.
Superficie,"26,03 km²"
Abitanti,1 949[1] (30-11-2025)
Densità,"74,88 ab./km²"
Frazioni,"Cascata, Ceppo, Marscida, Torre, Vialone"
Comuni confinanti,"Barzio, Gerola Alta (SO), Pasturo, Premana, Primaluna, Valtorta (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23815
Prefisso,0341
Fuso orario,UTC+1
Codice ISTAT,097040
Cod. catastale,E305
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 902 GG[3]"
Nome abitanti,introbiesi
Patrono,sant'Antonio Abate
Cartografia,Cartografia
Introbio,Introbio
Introbio – MappaPosizione del comune di Introbio nella provincia di Lecco,Introbio – MappaPosizione del comune di Introbio nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
