Imbersago comune,Imbersago comune.1
,
"Imbersago – VedutaPiazza Garibaldi. Sulla sinistra si vede ""la torre"", sulla destra la chiesa di San Paolo.","Imbersago – VedutaPiazza Garibaldi. Sulla sinistra si vede ""la torre"", sulla destra la chiesa di San Paolo."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Lecco
Amministrazione,Amministrazione
Sindaco,Fabio Vergani (lista civica Insieme per Imbersago) dal 27-5-2019
Territorio,Territorio
Coordinate,45°42′24″N 9°26′43″E
Altitudine,249 m s.l.m.
Superficie,"3,14 km²"
Abitanti,2 561[1] (30-11-2025)
Densità,"815,61 ab./km²"
Comuni confinanti,"Calco, Merate, Robbiate, Villa d'Adda (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23898
Prefisso,039
Fuso orario,UTC+1
Codice ISTAT,097039
Cod. catastale,E287
Targa,LC
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 423 GG[3]"
Nome abitanti,imbersaghesi
Patrono,santi Marcellino e Pietro Madonna del Bosco
Giorno festivo,2 giugno 9 maggio
Cartografia,Cartografia
Imbersago,Imbersago
Imbersago – MappaPosizione del comune di Imbersago nella provincia di Lecco,Imbersago – MappaPosizione del comune di Imbersago nella provincia di Lecco
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
