Casteldelci comune,Casteldelci comune.1
,
Casteldelci – Veduta,Casteldelci – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Fabiano Tonielli (lista civica Noi per Casteldelci) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,43°47′28.57″N 12°09′18.65″E
Altitudine,618 m s.l.m.
Superficie,"49,68 km²"
Abitanti,349[1] (30-11-2025)
Densità,"7,02 ab./km²"
Frazioni,"Boscagnone, Cabatarcio, Casantino, Fragheto, Gattara, Giardiniera, Mercato, Poggio Ancisa, Senatello, Viapiana, Ville di Fragheto, Schigno, Pescaia"
Comuni confinanti,"Badia Tedalda (AR), Sestino (AR), Pennabilli, Sant'Agata Feltria, Verghereto (FC)"
Altre informazioni,Altre informazioni
Cod. postale,47861
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099021
Cod. catastale,C080
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 572 GG[3]"
Nome abitanti,castellani
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Casteldelci,Casteldelci
Casteldelci – MappaPosizione del comune di Casteldelci all'interno della provincia di Rimini,Casteldelci – MappaPosizione del comune di Casteldelci all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
