San Leo comune,San Leo comune.1
,
San Leo – Veduta,San Leo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Leonardo Bindi (lista civica San Leo progetto comune) dal 27-5-2019
Territorio,Territorio
Coordinate,43°53′46.88″N 12°20′35.99″E
Altitudine,589 m s.l.m.
Superficie,"53,14 km²"
Abitanti,2 868[1] (30-11-2025)
Densità,"53,97 ab./km²"
Frazioni,"Pietracuta, Monte Maggio[2]"
Comuni confinanti,"Acquaviva (RSM), Chiesanuova (RSM), Città di San Marino (RSM), Maiolo, Montecopiolo, Monte Grimano Terme (PU), Novafeltria, Poggio Torriana, Sassofeltrio, Verucchio"
Altre informazioni,Altre informazioni
Cod. postale,47865
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099025
Cod. catastale,H949
Targa,RN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 549 GG[4]"
Nome abitanti,leontini
Patrono,san Leone
Giorno festivo,1º agosto
Cartografia,Cartografia
San Leo,San Leo
San Leo – MappaPosizione del comune di San Leo all'interno della provincia di Rimini,San Leo – MappaPosizione del comune di San Leo all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
