Rimini comune,Rimini comune.1
,
Rimini – Veduta,Rimini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Jamil Sadegholvaad (PD) dal 7-10-2021
Territorio,Territorio
Coordinate,44°03′34″N 12°34′06″E
Altitudine,5 m s.l.m.
Superficie,"135,71 km²"
Abitanti,150 787[1] (30-11-2025)
Densità,"1 111,1 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Bellaria-Igea Marina, Coriano, Riccione, San Mauro Pascoli (FC), Santarcangelo di Romagna, Serravalle (RSM), Verucchio"
Altre informazioni,Altre informazioni
Cod. postale,47921–47924
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099014
Cod. catastale,H294
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 139 GG[3]"
Nome abitanti,riminesi
Patrono,san Gaudenzio
Giorno festivo,14 ottobre
Cartografia,Cartografia
Rimini,Rimini
Rimini – MappaPosizione del comune di Rimini all'interno dell'omonima provincia,Rimini – MappaPosizione del comune di Rimini all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
