Montescudo-Monte Colombo comune,Montescudo-Monte Colombo comune.1
,
Montescudo-Monte Colombo – VedutaTorre Civica di Montescudo,Montescudo-Monte Colombo – VedutaTorre Civica di Montescudo
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Gian Marco Casadei (lista civica Insieme) dal 4-10-2021
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,43°55′N 12°33′E
Altitudine,328 m s.l.m.
Superficie,"32,35[1] km²"
Abitanti,7 007[2] (30-11-2025)
Densità,"216,6 ab./km²"
Frazioni,"Albereto, Croce, Monte Colombo, Montescudo (sede comunale), Osteria Nuova, San Savino, Santa Maria del Piano, Taverna, Trarivi, Valliano, Vallecchio"
Comuni confinanti,"Coriano, Faetano (RSM), Gemmano, San Clemente, Sassofeltrio"
Altre informazioni,Altre informazioni
Cod. postale,47854
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099029
Cod. catastale,M368
Targa,RN
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,"montescudesi, montecolombesi"
Cartografia,Cartografia
Montescudo-Monte Colombo,Montescudo-Monte Colombo
Montescudo-Monte Colombo – Mappa,Montescudo-Monte Colombo – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
