Sant'Agata Feltria comune,Sant'Agata Feltria comune.1
,
Sant'Agata Feltria – VedutaScorcio del borgo di Sant'Agata Feltria.,Sant'Agata Feltria – VedutaScorcio del borgo di Sant'Agata Feltria.
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Goffredo Polidori (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,43°51′50.44″N 12°12′30.53″E
Altitudine,607 m s.l.m.
Superficie,"79,74 km²"
Abitanti,1 957[1] (30-11-2025)
Densità,"24,54 ab./km²"
Frazioni,"Botticella, Caioletto, Palazzo, Pereto, Petrella Guidi, Poggio Scavolo, Rivolpaio, Rocca Pratiffi, Romagnano, Rosciano, San Donato, Sapigno, Tramonto, Ugrigno, Monte Benedetto, S. Antimo"
Comuni confinanti,"Badia Tedalda (AR), Casteldelci, Novafeltria, Pennabilli, Sarsina (FC), Sogliano al Rubicone (FC), Verghereto (FC)"
Altre informazioni,Altre informazioni
Cod. postale,47866
Prefisso,"0541, 0547"
Fuso orario,UTC+1
Codice ISTAT,099026
Cod. catastale,I201
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 563 GG[3]"
Nome abitanti,santagatesi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Sant'Agata Feltria,Sant'Agata Feltria
Sant'Agata Feltria – MappaPosizione del comune di Sant'Agata Feltria all'interno della provincia di Rimini,Sant'Agata Feltria – MappaPosizione del comune di Sant'Agata Feltria all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
