Novafeltria comune,Novafeltria comune.1
,
Novafeltria – Veduta,Novafeltria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Stefano Zanchini[1] (centro-destra Percorso comune) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,43°53′43.33″N 12°17′25.51″E
Altitudine,275 m s.l.m.
Superficie,"41,84 km²"
Abitanti,7 037[2] (30-11-2025)
Densità,"168,19 ab./km²"
Frazioni,"Perticara, Miniera di Perticara, Ponte Molino Baffoni, Sartiano, Secchiano Marecchia, Torricella, Uffogliano"
Comuni confinanti,"Mercato Saraceno (FC), Sogliano al Rubicone (FC), Maiolo, Pennabilli, Poggio Torriana, San Leo, Sant'Agata Feltria, Talamello"
Altre informazioni,Altre informazioni
Cod. postale,47863
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099023
Cod. catastale,F137
Targa,RN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 294 GG[4]"
Nome abitanti,novafeltriesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Novafeltria,Novafeltria
Novafeltria – MappaPosizione del comune di Novafeltria all'interno della provincia di Rimini,Novafeltria – MappaPosizione del comune di Novafeltria all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
