San Clemente comune,San Clemente comune.1
,
San Clemente – Veduta,San Clemente – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Mirna Cecchini (centro-sinistra) dal 26-5-2014
Territorio,Territorio
Coordinate,43°56′02″N 12°37′37″E
Altitudine,179 m s.l.m.
Superficie,"20,7 km²"
Abitanti,5 757[1] (30-11-2025)
Densità,"278,12 ab./km²"
Frazioni,"Agello, Casarola, Castel Leale, Cevolabbate, Fornace, Montemorolli, Sant'Andrea in Casale"
Comuni confinanti,"Coriano, Gemmano, Misano Adriatico, Montescudo-Monte Colombo, Montefiore Conca, Morciano di Romagna, San Giovanni in Marignano"
Altre informazioni,Altre informazioni
Cod. postale,47832
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099016
Cod. catastale,H801
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 382 GG[3]"
Nome abitanti,sanclementesi
Patrono,san Clemente Papa
Giorno festivo,23 novembre
Cartografia,Cartografia
San Clemente,San Clemente
San Clemente – MappaPosizione del comune di San Clemente all'interno della provincia di Rimini,San Clemente – MappaPosizione del comune di San Clemente all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
