Cattolica comune,Cattolica comune.1
,
Cattolica – VedutaVista panoramica di Cattolica,Cattolica – VedutaVista panoramica di Cattolica
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Franca Foronchi (PD) dal 18-10-2021
Data di istituzione,1896
Territorio,Territorio
Coordinate,43°57′30.4″N 12°44′19″E
Altitudine,12 m s.l.m.
Superficie,"5,97 km²"
Abitanti,16 630[1] (30-11-2025)
Densità,"2 785,59 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Gabicce Mare (PU), Gradara (PU), Misano Adriatico, San Giovanni in Marignano"
Altre informazioni,Altre informazioni
Cod. postale,47841
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099002
Cod. catastale,C357
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 165 GG[3]"
Nome abitanti,cattolichini
Patrono,san Pio V
Giorno festivo,30 aprile
Soprannome,Regina dell'Adriatico
Cartografia,Cartografia
Cattolica,Cattolica
Cattolica – MappaPosizione del comune di Cattolica all'interno della provincia di Rimini,Cattolica – MappaPosizione del comune di Cattolica all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
