Poggio Torriana comune,Poggio Torriana comune.1
,
Poggio Torriana – VedutaTorriana,Poggio Torriana – VedutaTorriana
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Ronny Raggini (lista civica) dal 27-5-2019
Data di istituzione,1º gennaio 2014
Territorio,Territorio
Coordinate,43°59′59.45″N 12°23′33.58″E
Altitudine,155 m s.l.m.
Superficie,"34,74[1] km²"
Abitanti,5 106[2] (30-11-2025)
Densità,"146,98 ab./km²"
Frazioni,"Camerano, Montebello, Poggio Berni (sede comunale), Sant'Andrea, Santo Marino, Torriana, Trebbio Località: Bruciatini, Colombare, Franzolini, Gemmiano, Gessi, Palazzo, Polverella, Sodo Comune[3][4]"
Comuni confinanti,"Borghi (FC), Novafeltria, San Leo, Santarcangelo di Romagna, Sogliano al Rubicone (FC), Verucchio"
Altre informazioni,Altre informazioni
Cod. postale,47824 e 47825
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099028
Cod. catastale,M324
Targa,RN
Cl. sismica,zona 2 (sismicità media)[5]
Nome abitanti,poggiotorrianesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Poggio Torriana,Poggio Torriana
Poggio Torriana – MappaPosizione del comune di Poggio Torriana nella provincia di Rimini,Poggio Torriana – MappaPosizione del comune di Poggio Torriana nella provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
