Maiolo comune,Maiolo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Marcello Fattori (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,43°52′26.54″N 12°18′33.8″E
Altitudine,590 m s.l.m.
Superficie,"24,28 km²"
Abitanti,780[1] (30-11-2025)
Densità,"32,13 ab./km²"
Frazioni,"Ca' Bertello, Ca' Migliore, Campolungo, Ca' Tomei, Santa Maria, Sant'Apollinare, Maioletto"
Comuni confinanti,"Montecopiolo, Novafeltria, Pennabilli, San Leo, Talamello"
Altre informazioni,Altre informazioni
Cod. postale,47862
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099022
Cod. catastale,E838
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 549 GG[3]"
Nome abitanti,maiolesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Maiolo,Maiolo
Maiolo – MappaPosizione del comune di Maiolo all'interno della provincia di Rimini,Maiolo – MappaPosizione del comune di Maiolo all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
