Morciano di Romagna comune,Morciano di Romagna comune.1
,
Morciano di Romagna – VedutaVista di Morciano di Romagna,Morciano di Romagna – VedutaVista di Morciano di Romagna
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Giuseppe Mario Puzzo (commissario prefettizio) dal 24-2-2026
Territorio,Territorio
Coordinate,43°55′N 12°39′E
Altitudine,83 m s.l.m.
Superficie,"5,44 km²"
Abitanti,7 272[1] (30-11-2025)
Densità,"1 336,76 ab./km²"
Comuni confinanti,"Montefiore Conca, Saludecio, San Clemente, San Giovanni in Marignano"
Altre informazioni,Altre informazioni
Cod. postale,47833
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099011
Cod. catastale,F715
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 257 GG[3]"
Nome abitanti,morcianesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Morciano di Romagna,Morciano di Romagna
Morciano di Romagna – MappaPosizione del comune di Morciano di Romagna all'interno della provincia di Rimini,Morciano di Romagna – MappaPosizione del comune di Morciano di Romagna all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
