Verucchio comune,Verucchio comune.1
,
Verucchio – Veduta,Verucchio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Lara Gobbi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°59′00″N 12°25′17.4″E
Altitudine,330 m s.l.m.
Superficie,"27,3 km²"
Abitanti,10 045[1] (30-11-2025)
Densità,"367,95 ab./km²"
Frazioni,"Brocchi, Cantelli, Case Montirone, Case Pellicioni, Pieve Corena, Ponte Verucchio, Villa Verucchio"
Comuni confinanti,"Acquaviva (RSM), Borgo Maggiore (RSM), Chiesanuova (RSM), Poggio Torriana, Rimini, San Leo, Santarcangelo di Romagna, Sassofeltrio, Serravalle (RSM)"
Altre informazioni,Altre informazioni
Cod. postale,47826
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099020
Cod. catastale,L797
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 534 GG[3]"
Nome abitanti,verucchiesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Verucchio,Verucchio
Verucchio – MappaPosizione del comune di Verucchio all'interno della provincia di Rimini,Verucchio – MappaPosizione del comune di Verucchio all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
