Sassofeltrio comune,Sassofeltrio comune.1
,
Sassofeltrio – Veduta,Sassofeltrio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Fabio Medici (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,43°53′30.91″N 12°30′33.05″E
Altitudine,466 m s.l.m.
Superficie,"21,08 km²"
Abitanti,1 386[1] (30-11-2025)
Densità,"65,75 ab./km²"
Frazioni,"Ca' Micci, Fratte, Gesso"
Comuni confinanti,"Chiesanuova (RSM), Faetano (RSM), Fiorentino (RSM), Gemmano, Mercatino Conca (PU), Montegiardino (RSM), Monte Grimano Terme (PU), Montescudo-Monte Colombo, San Leo, Verucchio"
Altre informazioni,Altre informazioni
Cod. postale,47869
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099031
Cod. catastale,I460
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 365 GG[3]"
Nome abitanti,sassofeltresi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Sassofeltrio,Sassofeltrio
Sassofeltrio – MappaPosizione del comune di Sassofeltrio nella provincia di Rimini,Sassofeltrio – MappaPosizione del comune di Sassofeltrio nella provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
