Bellaria-Igea Marina comune,Bellaria-Igea Marina comune.1
,
Bellaria-Igea Marina – VedutaChiesa Sacro Cuore,Bellaria-Igea Marina – VedutaChiesa Sacro Cuore
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Filippo Giorgetti (FI) (Liste civiche + centro-destra) dal 26-5-2019 (2º mandato dal 9-6-2024)
Data di istituzione,1956
Territorio,Territorio
Coordinate,44°09′N 12°27′E
Altitudine,3 m s.l.m.
Superficie,"18,17 km²"
Abitanti,19 568[1] (30-11-2025)
Densità,"1 076,94 ab./km²"
Frazioni,"Bellaria Monte, Belverde, Bordonchio, Cagnona, Donegallia, Ghetto dei Pirati, Igea Marina, Palazzina, Villaggio Ricci"
Comuni confinanti,"Rimini, San Mauro Pascoli (FC)"
Altre informazioni,Altre informazioni
Cod. postale,47814
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099001
Cod. catastale,A747
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,bellariesi - igeani
Patrono,sant'Apollonia
Giorno festivo,9 febbraio
Cartografia,Cartografia
Bellaria-Igea Marina,Bellaria-Igea Marina
Bellaria-Igea Marina – MappaPosizione del comune di Bellaria-Igea Marina all'interno della provincia di Rimini,Bellaria-Igea Marina – MappaPosizione del comune di Bellaria-Igea Marina all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
