Pennabilli comune,Pennabilli comune.1
,
Pennabilli – VedutaPanorama sul centro di Pennabilli,Pennabilli – VedutaPanorama sul centro di Pennabilli
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Mauro Giannini (Lega Nord - Identità montana) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,43°49′08.4″N 12°15′59.76″E
Altitudine,629 m s.l.m.
Superficie,"69,66[1] km²"
Abitanti,2 680[2] (30-11-2025)
Densità,"38,47 ab./km²"
Frazioni,"Ca' Romano, Maciano, Miratoio, Molino di Bascio, Ponte Messa, Scavolino, Soanne"
Comuni confinanti,"Badia Tedalda (AR), Carpegna (PU), Casteldelci, Maiolo, Montecopiolo, Novafeltria, Sant'Agata Feltria, Sestino (AR)"
Altre informazioni,Altre informazioni
Cod. postale,47864
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099024
Cod. catastale,G433
Targa,RN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 581 GG[4]"
Nome abitanti,pennesi
Patrono,san Pio V
Giorno festivo,5 maggio
Cartografia,Cartografia
Pennabilli,Pennabilli
Pennabilli – MappaPosizione del comune di Pennabilli all'interno della provincia di Rimini,Pennabilli – MappaPosizione del comune di Pennabilli all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
