Provincia di Rimini provincia,Provincia di Rimini provincia.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Amministrazione,Amministrazione
Capoluogo,Rimini
Presidente,Jamil Sadegholvaad (PD) dal 24-11-2022
Data di istituzione,1992 (prima elezione 1995)
Territorio,Territorio
Coordinate del capoluogo,44°03′34.9″N 12°33′09.9″E
Superficie,"921,77 km²"
Abitanti,341 235[1] (31-10-2025)
Densità,"370,2 ab./km²"
Comuni,27 comuni
Province confinanti,"Forlì-Cesena, Pesaro e Urbino, Arezzo, Repubblica di San Marino (RSM)"
Altre informazioni,Altre informazioni
Cod. postale,"47921-47924 Rimini, 47814-47869 la provincia"
Prefisso,"0541, 0722 (per il solo comune di Montecopiolo)"
Fuso orario,UTC+1
ISO 3166-2,IT-RN
Codice ISTAT,099
Targa,RN
Cartografia,Cartografia
Provincia di Rimini – Localizzazione,Provincia di Rimini – Localizzazione
Provincia di Rimini – Mappa,Provincia di Rimini – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
