Santarcangelo di Romagna comune,Santarcangelo di Romagna comune.1
,
Santarcangelo di Romagna – VedutaVeduta di Santarcangelo di Romagna,Santarcangelo di Romagna – VedutaVeduta di Santarcangelo di Romagna
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Rimini
Amministrazione,Amministrazione
Sindaco,Filippo Sacchetti (PD) dal 10-6-2024
Territorio,Territorio
Coordinate,44°03′47.74″N 12°26′47.65″E
Altitudine,42 m s.l.m.
Superficie,"45,01 km²"
Abitanti,22 358[1] (30-11-2025)
Densità,"496,73 ab./km²"
Frazioni,"Ciola-Stradone, Canonica, La Giola, Montalbano, San Martino dei Mulini, San Michele, Sant'Ermete, San Vito, Casale San Vito, Sant'Agata-San Bartolo"
Comuni confinanti,"Longiano (FC), Borghi (FC), Poggio Torriana, Verucchio, Rimini, San Mauro Pascoli (FC), Savignano sul Rubicone (FC)"
Altre informazioni,Altre informazioni
Cod. postale,47822
Prefisso,0541
Fuso orario,UTC+1
Codice ISTAT,099018
Cod. catastale,I304
Targa,RN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 186 GG[3]"
Nome abitanti,santarcangiolesi
Patrono,san Michele Arcangelo[4][5]
Giorno festivo,29 settembre 11 novembre
Cartografia,Cartografia
Santarcangelo di Romagna,Santarcangelo di Romagna
Santarcangelo di Romagna – MappaPosizione del comune di Santarcangelo di Romagna all'interno della provincia di Rimini,Santarcangelo di Romagna – MappaPosizione del comune di Santarcangelo di Romagna all'interno della provincia di Rimini
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
