Domegge di Cadore comune,Domegge di Cadore comune.1
,
Domegge di Cadore – Veduta,Domegge di Cadore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Achille Barnabò (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°27′37.35″N 12°24′56.97″E
Altitudine,775 m s.l.m.
Superficie,"50,36 km²"
Abitanti,2 231[1] (30-11-2025)
Densità,"44,3 ab./km²"
Frazioni,"Grea, Vallesella"
Comuni confinanti,"Auronzo di Cadore, Calalzo di Cadore, Cimolais (PN), Forni di Sopra (UD), Lorenzago di Cadore, Lozzo di Cadore, Pieve di Cadore"
Altre informazioni,Altre informazioni
Cod. postale,32040
Prefisso,0435
Fuso orario,UTC+1
Codice ISTAT,025018
Cod. catastale,D330
Targa,BL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 831 GG[3]"
Nome abitanti,domeggesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Domegge di Cadore,Domegge di Cadore
Domegge di Cadore – MappaPosizione del comune di Domegge di Cadore nella provincia di Belluno,Domegge di Cadore – MappaPosizione del comune di Domegge di Cadore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
