Vigo di Cadore comune,Vigo di Cadore comune.1
,
Vigo di Cadore – VedutaVista dall'alto di Vigo di Cadore,Vigo di Cadore – VedutaVista dall'alto di Vigo di Cadore
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Silvia Calligaro (lista civica Verso il futuro) dal 4-10-2021
Territorio,Territorio
Coordinate,46°30′01.6″N 12°28′21.44″E
Altitudine,951 m s.l.m.
Superficie,"70,07[1] km²"
Abitanti,1 326[2] (30-11-2025)
Densità,"18,92 ab./km²"
Frazioni,"Laggio, Pelòs Località: Piniè Treponti[3]"
Comuni confinanti,"Auronzo di Cadore, Forni di Sopra (UD), Lorenzago di Cadore, Lozzo di Cadore, Prato Carnico (UD), Santo Stefano di Cadore, Sappada (UD), Sauris (UD)"
Altre informazioni,Altre informazioni
Cod. postale,32040
Prefisso,0435
Fuso orario,UTC+1
Codice ISTAT,025065
Cod. catastale,L890
Targa,BL
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona F, 4 086 GG[5]"
Nome abitanti,vigési
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Vigo di Cadore,Vigo di Cadore
Vigo di Cadore – MappaPosizione del comune di Vigo di Cadore nella provincia di Belluno,Vigo di Cadore – MappaPosizione del comune di Vigo di Cadore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
